 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
   4   4  10   0.176432E-06   0.000000E+00   0.000000E+00
   4   4  11   0.255728E-06   0.000000E+00   0.000000E+00
   4   4  12   0.349891E-06   0.000000E+00   0.000000E+00
   4   4  13   0.455705E-06   0.000000E+00   0.000000E+00
   4   4  14   0.568576E-06   0.000000E+00   0.000000E+00
   4   4  15   0.682900E-06   0.000000E+00   0.000000E+00
   4   4  16   0.792400E-06   0.000000E+00   0.000000E+00
   4   4  17   0.890700E-06   0.000000E+00   0.000000E+00
   4   4  18   0.971800E-06   0.000000E+00   0.000000E+00
   4   4  19   0.103000E-05   0.000000E+00   0.000000E+00
   4   4  20   0.106100E-05   0.000000E+00   0.000000E+00
   4   4  21   0.106200E-05   0.000000E+00   0.000000E+00
   4   4  22   0.103000E-05   0.000000E+00   0.000000E+00
   4   4  23   0.965800E-06   0.000000E+00   0.000000E+00
   4   4  24   0.870400E-06   0.000000E+00   0.000000E+00
   4   4  25   0.747200E-06   0.000000E+00   0.000000E+00
   5   0   0   0.000000E+00   0.000000E+00   0.127585E-09
   5   0   1   0.000000E+00   0.477606E-09   0.279416E-11
   5   0   2   0.729388E-09   0.347223E-09   0.985705E-10
   5   0   3   0.158824E-08   0.332661E-09   0.267821E-09
   5   0   4   0.268812E-08   0.335295E-09   0.459762E-09
   5   0   5   0.401669E-08   0.345143E-09   0.642936E-09
   5   0   6   0.552646E-08   0.359868E-09   0.798094E-09
   5   0   7   0.714742E-08   0.378913E-09   0.915013E-09
   5   0   8   0.879671E-08   0.402422E-09   0.989974E-09
   5   0   9   0.103889E-07   0.431052E-09   0.102338E-08
   5   0  10   0.118454E-07   0.465890E-09   0.101819E-08
   5   0  11   0.131016E-07   0.508372E-09   0.979158E-09
   5   0  12   0.141096E-07   0.559908E-09   0.912793E-09
   5   0  13   0.148359E-07   0.621077E-09   0.827629E-09
   5   0  14   0.152553E-07   0.690315E-09   0.734381E-09
   5   0  15   0.153400E-07   0.762300E-09   0.645200E-09
   5   0  16   0.150600E-07   0.826800E-09   0.572200E-09
   5   0  17   0.143800E-07   0.869300E-09   0.525300E-09
   5   0  18   0.132800E-07   0.875800E-09   0.510900E-09
   5   0  19   0.117900E-07   0.839900E-09   0.530700E-09
   5   0  20   0.999700E-08   0.770100E-09   0.578900E-09
   5   0  21   0.809500E-08   0.691100E-09   0.638600E-09
   5   0  22   0.629400E-08   0.636700E-09   0.681500E-09
   5   0  23   0.477400E-08   0.639900E-09   0.677100E-09
   5   1   0   0.000000E+00   0.000000E+00   0.151736E-07
   5   1   1   0.000000E+00   0.164751E-07   0.336458E-08
